Country/Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,1.23,1.31,1.15,1.45,1.89,1.45,1.4,1.47,1.54,1.53,1.64,1.74,1.4,1.4,1.2,1.41,1.5,1.53,1.94,2.25,2.46,3.23,2.61,2.46,2.25,2.37,2.24,2.3,2.44,2.41,2.57,..
Albania,7.05,6.86,5.36,4.8,4.71,3.9,3.82,3.66,3.71,4.41,4.13,3.89,4.1,3.8,3.96,3.76,3.46,3.12,3.01,2.98,2.85,2.91,2.57,2.96,2.93,2.69,2.68,2.7,2.59,2.51,2.41,..
Algeria,4.12,4.41,4.44,4.55,4.43,4.45,4.14,4.19,4.13,4.27,4.18,4.07,4.12,4.08,3.96,3.9,4.1,4.21,4.16,4.48,4.42,4.47,4.72,4.76,5,5.05,4.85,4.93,5.2,5.32,5.32,..
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,3.61,3.66,3.91,5.33,5.33,4.59,4.12,3.89,3.67,3.74,3.69,3.67,3.35,3.51,3.18,2.62,2.63,2.51,2.49,2.73,2.61,2.61,2.71,2.61,3.28,2.86,2.61,2.51,3.01,2.92,2.7,..
Anguilla,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,3.69,3.72,3.68,3.63,3.53,3.7,3.66,3.72,3.68,3.77,3.67,4,4.29,4.29,4.23,4.24,4.06,3.83,3.85,4.51,4.78,4.86,4.81,4.86,4.77,4.69,4.57,4.47,4.29,4.24,5.13,4.94
Argentina,3.98,3.8,3.62,3.45,3.52,3.62,3.54,3.38,3.47,3.68,3.69,3.59,3.99,3.97,4.04,3.68,3.58,3.44,3.42,3.35,3.26,3.18,3.3,3.31,3.4,3.36,3.41,3.32,3.31,3.35,3.46,3.38
Armenia,17.61,21.02,18.36,10.69,6.38,7.12,7.28,7.36,6.99,6.54,6.79,6.17,5.1,4.72,4.52,4.76,4.28,4.2,4.13,4.18,3.89,4.06,4.15,3.92,4.11,4.12,3.93,3.86,3.51,3.53,4.02,..
Aruba,3.31,3.34,3.2,3.59,3.36,3.51,3.53,3.46,3.6,3.58,16.15,15.63,15.89,16.2,15.29,15.72,15.53,15.52,14.64,16.48,16.58,15.98,6.96,3.33,3.39,3.35,3.23,3.09,3.03,3.15,4.06,3.63
